'state_territory','county_name','county_web_link','founded','named_for','seat','largest_city','total_population','density','congressional_district'
'missouri','clark_county','nan','december 16 1836','william clark','kahoka','kahoka','6634','13/sqmi (5.0/km2)','6th'
'missouri','clay_county','https://www.claycountymo.gov/','january 2 1822','henry clay','liberty','kansas city','253335','620/sqmi (240/km2)','nan'
'missouri','clinton_county','http://www.clintoncomo.org','january 2 1833','dewitt clinton','plattsburg','cameron','20743','49/sqmi (19/km2)','6th'
'missouri','cole_county','http://www.colecounty.org','nan','nan','nan','nan','nan','nan','nan'
'missouri','cooper_county','http://www.coopercountymo.gov/','december 17 1818','sarshell cooper','boonville','boonville','17103','30/sqmi (12/km2)','4th'
'missouri','crawford_county','http://crawfordcountymo.net','january 23 1829','william h. crawford','steelville','cuba','24696','33/sqmi (13/km2)','8th'
'missouri','dade_county','nan','january 29 1841','francis l. dade','greenfield','greenfield','7569','15/sqmi (5.8/km2)','4th'
'missouri','dallas_county','nan','december 10 1844','george m. dallas','buffalo','buffalo','16777','31/sqmi (12/km2)','4th'
'missouri','daviess_county','nan','december 29 1836','major joseph hamilton daviess','gallatin','gallatin','8430','15/sqmi (5.7/km2)','6th'
'missouri','dekalb_county','https://www.dekalbcountymo.com/','february 25 1845','johann de kalb','maysville','cameron','11029','26/sqmi (10.0/km2)','6th'
'missouri','dent_county','https://www.salemmo.com/dent/index.php','february 10 1851','lewis dent a pioneer settler','salem','salem','14421','19/sqmi (7.4/km2)','8th'
'missouri','douglas_county','nan','october 19 1857','stephen a. douglas','ava','ava','11578','14/sqmi (5.5/km2)','8th'
'missouri','dunklin_county','https://dunklincounty.org','february 14 1845','daniel dunklin','kennett','kennett','28283','52/sqmi (20/km2)','8th'
'missouri','franklin_county','http://www.franklinmo.org','december 11 1818','benjamin franklin','union','washington','104682','110/sqmi (43/km2)','3rd'
'missouri','gasconade_county','https://gasconadecounty.org/','november 25 1820','gasconade river','hermann','owensville','14794','28/sqmi (11/km2)','3rd'
'missouri','gentry_county','http://gentrycounty.net/','february 14 1841','richard gentry','albany','albany','6162','13/sqmi (4.8/km2)','6th'
'missouri','greene_county','http://www.greenecountymo.org','january 2 1833','nathanael greene','springfield','springfield','298915','440/sqmi (170/km2)','7th'
'missouri','grundy_county','http://www.grundycountymo.com','january 2 1841','felix grundy','trenton','trenton','9808','22/sqmi (8.6/km2)','6th'
'missouri','harrison_county','nan','february 14 1845','albert g. harrison','bethany','bethany','8157','11/sqmi (4.3/km2)','6th'
'missouri','henry_county','http://www.henrycomo.com/','december 13 1834','patrick henry','clinton','clinton','22272','30/sqmi (12/km2)','4th'
'missouri','hickory_county','nan','february 14 1845','andrew jackson nicknamed "old hickory"','hermitage','hermitage','8279','20/sqmi (7.8/km2)','4th'
'missouri','holt_county','http://holtcounty.org/','february 15 1841','david rice holt','oregon','mound city','4223','9.0/sqmi (3.5/km2)','6th'
'missouri','howard_county','nan','january 23 1816','benjamin howard','fayette','fayette','10151','22/sqmi (8.3/km2)','4th'
'missouri','howell_county','http://www.howellcounty.net','march 2 1857','josiah howell pioneer settler','west plains','west plains','40400','44/sqmi (17/km2)','8th'
'missouri','iron_county','nan','february 17 1857','iron ore','ironton','ironton','9537','17/sqmi (6.7/km2)','8th'
'missouri','jackson_county','http://www.jacksongov.org','december 15 1826','andrew jackson','independence and kansas city','kansas city','717204','1200/sqmi (450/km2)','nan'
'missouri','jasper_county','http://www.jaspercounty.org','january 2 1841','william jasper','carthage','joplin','122761','192.3/sqmi (74.2/km2)','7th'
'missouri','jefferson_county','http://www.jeffcomo.org','1818','thomas jefferson','hillsboro','arnold','226739','340/sqmi (130/km2)','nan'
'missouri','johnson_county','http://www.jococourthouse.com','december 13 1834','richard mentor johnson','warrensburg','warrensburg','52595','63/sqmi (24/km2)','4th'
'missouri','knox_county','http://www.knoxcountymo.org','february 14 1845','henry knox','edina','edina','3744','7.4/sqmi (2.9/km2)','6th'
'missouri','laclede_county','http://lacledecountymissouri.org/','february 24 1849','pierre laclede','lebanon','lebanon','35723','47/sqmi (18/km2)','4th'
'missouri','lafayette_county','http://www.lafayettecountymo.com','november 16 1820','marquis de la fayette','lexington','odessa','33381','52/sqmi (20/km2)','5th'
'missouri','lawrence_county','https://www.lawrencecountymo.org/','february 14 1845','james lawrence','mount vernon','monett','38634','63/sqmi (24/km2)','7th'
'missouri','lewis_county','http://lewiscountymo.org','january 2 1833','meriwether lewis','monticello','canton','10032','20/sqmi (7.6/km2)','6th'
'missouri','lincoln_county','http://www.lcmo.us','december 14 1818','benjamin lincoln','troy','troy','59574','93/sqmi (36/km2)','3rd'
'missouri','linn_county','nan','january 1 1837','lewis f. linn','linneus','brookfield','11874','19/sqmi (7.4/km2)','6th'
'missouri','livingston_county','http://www.livingstoncountymo.com','january 6 1837','edward livingston','chillicothe','chillicothe','14557','27/sqmi (10/km2)','6th'
'missouri','macon_county','http://www.maconcountymo.com/','january 6 1837','nathaniel macon','macon','macon','15209','19/sqmi (7.2/km2)','6th'
'missouri','madison_county','http://madisoncountymo.us','december 14 1818','james madison','fredericktown','fredericktown','12626','25/sqmi (9.8/km2)','8th'
'missouri','maries_county','https://www.mariescountymo.gov','march 2 1855','the maries river and little maries river','vienna','belle','8432','16/sqmi (6.1/km2)','3rd'
'missouri','marion_county','nan','december 23 1826','francis marion','palmyra','hannibal','28781','65/sqmi (25/km2)','6th'
'missouri','mcdonald_county','http://www.mcdonaldcountygov.com/','nan','nan','nan','nan','nan','nan','nan'
'missouri','mercer_county','nan','february 14 1845','john francis mercer','princeton','princeton','3538','7.8/sqmi (3.0/km2)','6th'
'missouri','miller_county','http://www.millercountymissouri.org','february 6 1837','john miller','tuscumbia','eldon','24722','41/sqmi (16/km2)','3rd'
'missouri','mississippi_county','http://www.misscomo.net/','february 14 1845','mississippi river','charleston','charleston','12577','29/sqmi (11/km2)','8th'
'missouri','moniteau_county','nan','february 14 1845','moniteau creek','california','california','15473','37/sqmi (14/km2)','4th'
'missouri','monroe_county','http://www.monroecountymo.org','january 6 1831','james monroe','paris','monroe city','8666','13/sqmi (5.0/km2)','6th'
'missouri','montgomery_county','http://mcmo.us/','december 14 1818','richard montgomery','montgomery city','montgomery city','11322','21/sqmi (8.1/km2)','3rd'
'missouri','morgan_county','http://www.morgan-county.org','january 5 1833','daniel morgan','versailles','versailles','20565','33/sqmi (13/km2)','4th'
'missouri','new_madrid_county','nan','october 1 1812','madrid spain','new madrid','new madrid','16434','24/sqmi (9.1/km2)','8th'
'missouri','newton_county','http://www.newtoncountymo.com/','december 15 1838','nan','neosho','joplin','58114','93/sqmi (36/km2)','7th'
'missouri','nodaway_county','http://www.nodawaycountymo.com/','february 14 1845','nodaway river','maryville','maryville','23370','27/sqmi (10/km2)','6th'
'missouri','oregon_county','nan','february 14 1845','oregon territory','alton','thayer','8635','11/sqmi (4.2/km2)','8th'
'missouri','osage_county','http://osagecountygov.com','january 29 1841','osage river','linn','linn','13274','22/sqmi (8.4/km2)','3rd'
'missouri','ozark_county','http://www.mogenweb.org/ozark/','january 29 1841','ozark mountains','gainesville','gainesville','8553','11/sqmi (4.4/km2)','8th'
'missouri','pemiscot_county','http://www.pemiscotcounty.org/','february 19 1851','fox word meaning "liquid mud"','caruthersville','caruthersville','15661','31/sqmi (12/km2)','8th'
'missouri','perry_county','http://perrycountymo.us/','november 16 1820','oliver hazard perry','perryville','perryville','18956','39/sqmi (15/km2)','8th'
'missouri','pettis_county','http://www.pettiscomo.com','january 24 1833','spencer darwin pettis','sedalia','sedalia','42201','62/sqmi (24/km2)','4th'
'missouri','phelps_county','http://www.phelpscounty.org','13 november 1857','john s. phelps','rolla','rolla','44638','66/sqmi (26/km2)','8th'
'missouri','pike_county','http://www.pikecountymo.net/','december 14 1818','zebulon m. pike','bowling green','bowling green','18516','27/sqmi (10/km2)','6th'
'missouri','platte_county','http://www.co.platte.mo.us','december 31 1838','platte river or platte purchase','platte city','kansas city','106718','250/sqmi (96/km2)','6th'
'missouri','polk_county','nan','march 13 1835','ezekiel polk','bolivar','bolivar','31137','49/sqmi (19/km2)','7th'
'missouri','pulaski_county','http://www.pulaskicountymo.org/home.html','january 19 1833','kazimierz pułaski','waynesville','nan','52274','95/sqmi (37/km2)','4th'
'missouri','putnam_county','http://nemr.net/~putco/','february 28 1845','israel putnam','unionville','unionville','4681','9.0/sqmi (3.5/km2)','6th'
'missouri','ralls_county','http://www.rallscounty.org/','november 16 1820','daniel ralls','new london','hannibal','10355','21/sqmi (8.3/km2)','6th'
'missouri','randolph_county','http://www.randolphcounty-mo.com/','january 22 1829','john randolph of roanoke','huntsville','moberly','25414','52/sqmi (20/km2)','4th'
'missouri','ray_county','http://www.raycountymo.com/','november 16 1820','john ray missouri state legislator','richmond','richmond','23158','40/sqmi (16/km2)','5th'
'missouri','reynolds_county','nan','february 25 1845','thomas reynolds','centerville','ellington','6096','7.5/sqmi (2.9/km2)','8th'
'missouri','ripley_county','http://www.ripleycountymissouri.org/','january 5 1833','eleazer wheelock ripley','doniphan','doniphan','10679','17/sqmi (6.5/km2)','8th'
'missouri','saint_charles_county','http://www.sccmo.org','october 1 1812','charles borromeo','st. charles',"o'fallon",'405262','680/sqmi (260/km2)','nan'
'missouri','saint_clair_county','http://www.stclaircomo.com','january 29 1841','arthur st. clair','osceola','appleton city','9284','13/sqmi (5.1/km2)','4th'
'missouri','saint_francois_county','http://www.sfcgov.org/','nan','nan','nan','nan','nan','nan','nan'
'missouri','saint_louis_county','http://stlouiscountymo.gov/','october 1 1812','nan','clayton','florissant','523sqmi (1350km2)','nan','nan'
'missouri','saint_louis_city','http://stlouis-mo.gov','february 14 1764','louis ix of france','nan','nan','nan','4885.0/sqmi (1887.19/km2)','nan'
'missouri','sainte_genevieve_county','http://stegencounty.org','nan','nan','nan','nan','nan','nan','nan'
'missouri','saline_county','http://www.salinecountymo.org/','november 25 1820','the salt springs in the region','marshall','marshall','23370','30/sqmi (12/km2)','5th'
'missouri','schuyler_county','nan','february 14 1845','philip schuyler','lancaster','lancaster','4032','13/sqmi (5.1/km2)','6th'
'missouri','scotland_county','http://www.scotlandcountymo.org/','january 29 1841','scotland','memphis','memphis','4716','11/sqmi (4.1/km2)','6th'
'missouri','scott_county','http://www.scottcountymo.com/','december 28 1821','john scott','benton','sikeston','38059','89/sqmi (34/km2)','8th'
'missouri','shannon_county','http://www.shannon-county.com/','january 29 1841','george shannon','eminence','winona','7031','7.0/sqmi (2.7/km2)','8th'
'missouri','shelby_county','nan','january 2 1835','isaac shelby','shelbyville','shelbina','6103','12/sqmi (4.7/km2)','6th'
'missouri','stoddard_county','nan','january 2 1835','amos stoddard','bloomfield','dexter','28672','35/sqmi (13/km2)','8th'
'missouri','stone_county','http://www.stoneco-mo.us/','february 10 1851','william stone english pioneer and an early settler in maryland','galena','kimberling city','31076','61/sqmi (23/km2)','7th'
'missouri','sullivan_county','nan','1843 (created)1845 (organized)','john sullivan','milan','milan','5999','9.2/sqmi (3.6/km2)','6th'
